entity_type,category,zone,category1,BOQ name,qty_type,qty_value,length (ft),width (ft),perimeter,area (ft2),Description,Preview,remarks
INSERT,PLANNER,LoungeArea,side table,SideTable_Round_L1.33ft,count,4.00,0.00,0.00,,,,,aggregated 4 inserts
INSERT,PLANNER,LoungeArea,sofa,Sofa_Straight_L65in_D32in,count,2.00,5.42,2.67,,,,,aggregated 2 inserts
INSERT,PLANNER,LoungeArea,wallpaper-diningroom,OrbitDrumCeilingLight,count,2.00,0.17,0.00,,,,,aggregated 2 inserts
INSERT,PLANNER,LoungeRoom,blinds,BLINDS- WAITING AREA 3,count,1.00,12.60,0.25,,,,,aggregated 1 inserts
INSERT,PLANNER,LoungeRoom,centre table,CentreTable_Cyclinde_L4.5ft,count,1.00,3.03,2.51,,,,,aggregated 1 inserts
INSERT,PLANNER,LoungeRoom,chair,LoungeChair,count,1.00,2.73,2.63,,,,,aggregated 1 inserts
INSERT,PLANNER,LoungeRoom,decoratives,Planters_Large,count,1.00,2.22,2.07,,,,,aggregated 1 inserts
INSERT,PLANNER,LoungeRoom,door_glass,Door_Glass,count,1.00,3.02,2.98,,,,,aggregated 1 inserts
INSERT,PLANNER,LoungeRoom,light,HangingLightPill,count,1.00,3.03,2.51,,,,,aggregated 1 inserts
INSERT,PLANNER,LoungeRoom,light,PannelLight_Circle,count,1.00,0.00,0.00,,,,,aggregated 1 inserts
INSERT,PLANNER,LoungeRoom,sofa,Sofa_Straight_L65in_D32in,count,1.00,5.42,2.67,,,,,aggregated 1 inserts
INSERT,PLANNER,LoungeRoom,wall frame,WallFrame2ft,count,3.00,2.00,0.04,,,,,aggregated 3 inserts
INSERT,PLANNER,MeetingRoom 1,blinds,BLINDS- MEETING ROOM,count,1.00,9.53,0.25,,,,,aggregated 1 inserts
INSERT,PLANNER,MeetingRoom 1,chair,TaskChair_MedBackrest,count,2.00,2.22,2.01,,,,,aggregated 2 inserts
INSERT,PLANNER,MeetingRoom 1,light,SpotLightFalseCeiling,count,4.00,0.00,0.00,,,,,aggregated 4 inserts
INSERT,PLANNER,MeetingRoom 1,meeting table,MeetingTable_Rectangular_L5ft,count,1.00,5.00,2.50,,,,,aggregated 1 inserts
INSERT,PLANNER,MeetingRoom 1,wall frame,WallFrame2ft,count,3.00,2.00,0.04,,,,,aggregated 3 inserts
INSERT,PLANNER,MeetingRoom 1,wallpaper-diningroom,LightHangingTriangle,count,1.00,1.27,1.17,,,,,aggregated 1 inserts
INSERT,PLANNER,MeetingRoom 2,blinds,BLINDS-MEETING ROOM 2,count,1.00,11.74,0.25,,,,,aggregated 1 inserts
INSERT,PLANNER,MeetingRoom 2,chair,TaskChair_MedBackrest,count,3.00,2.22,2.01,,,,,aggregated 3 inserts
INSERT,PLANNER,MeetingRoom 2,door_glass,Door_Glass,count,1.00,2.60,2.56,,,,,aggregated 1 inserts
INSERT,PLANNER,MeetingRoom 2,light,SpotLightFalseCeiling,count,6.00,0.00,0.00,,,,,aggregated 6 inserts
INSERT,PLANNER,MeetingRoom 2,meeting table,MeetingTable_Rectangular_L8ft,count,1.00,8.00,3.00,,,,,aggregated 1 inserts
INSERT,PLANNER,MeetingRoom 2,storage,STRG,count,1.00,11.82,1.51,,,,,aggregated 1 inserts
INSERT,PLANNER,MeetingRoom 2,wall frame,WallFrame2ft,count,3.00,2.00,0.04,,,,,aggregated 3 inserts
INSERT,PLANNER,MeetingRoom 2,wallpaper-diningroom,LightAcousticPill,count,1.00,3.62,1.00,,,,,aggregated 1 inserts
LAYER_SUMMARY,Profile_Light,,,,layer,,36.14,4.54,81.36,164.03,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Storage,,,,layer,,1.51,,,,,,OPEN length only
LAYER_SUMMARY,Storage,,,,layer,,1.51,1.51,6.03,2.27,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,WALL PANEL- MEETING ROOM,,,,layer,,28.33,0.08,56.83,2.35,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,WALL PANEL- WAITING LOUNGE,,,,layer,,30.76,0.08,61.69,2.56,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,WALL PANEL-DINNING ROOM,,,,layer,,23.74,0.09,47.65,2.02,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Wallpaper-Breakout,,,,layer,,26.75,,,,,,OPEN length only
LAYER_SUMMARY,Wallpaper-DiningRoom,,,,layer,,72.03,,,,,,OPEN length only
LAYER_SUMMARY,Wallpaper-MeetingRoom1,,,,layer,,10.37,,,,,,OPEN length only
LAYER_SUMMARY,Wallpaper-MeetingRoom2,,,,layer,,13.98,,,,,,OPEN length only
LAYER_SUMMARY,Window,,,,layer,,82.71,,,,,,OPEN length only
